PARENT_MOLREGNO	CHEMBL_ID	SYNONYMS	DEVELOPMENT_PHASE	RESEARCH_CODES	APPLICANTS	USAN_STEM	USAN_STEM_DEFINITION	USAN_STEM_SUBSTEM	USAN_YEAR	FIRST_APPROVAL	ATC_CODE	ATC_CODE_DESCRIPTION	INDICATION_CLASS	SC_PATENT_NO	DRUG_TYPE	RULE_OF_FIVE	FIRST_IN_CLASS	CHIRALITY	PRODRUG	ORAL	PARENTERAL	TOPICAL	BLACK_BOX	AVAILABILITY_TYPE	CANONICAL_SMILES
1380609	CHEMBL2108343	Varfollitropin Alfa (INN)													Oligopeptide	N	N	Single Stereoisomer	N						
1381483	CHEMBL2109217	Perflutren Protein-Type A Microspheres (USP)				perflu-	blood substitutes and/or diagnostics (perfluorochemicals)	perflu-							Unknown	N	N	Single Stereoisomer	N						
1380861	CHEMBL2108595	Ethylene Glycol Stearates (NF)													Unknown	N	N	Single Stereoisomer	N						
1380928	CHEMBL2108662	Vehicle, Sugar Free (NF)													Unknown	N	N	Single Stereoisomer	N						
1380693	CHEMBL2108427	Follicle Stimulating Hormone (BAN); Menotrophin (BAN); Menotropins (USAN, USP); Menotropins (Fsh;Lh) (FDA)	4	FSH; HMG	Ortho Pharmaceutical; Organon USA Inc.; Organon; Ferring; Serono	-trop-	atropine derivatives	-trop-	1967	1975			Gonad-Stimulating Principle		Unknown	N	N	Single Stereoisomer	N	N	Y	N	N	Prescription-only	
1380677	CHEMBL2108411	Bifarcept (INN)				-cept	receptor molecules, native or modified: interferon receptors	-cept (-farcept)							Oligopeptide	N	N	Single Stereoisomer	N						
1380655	CHEMBL2108389	Feverfew (NF)													Unknown	N	N	Single Stereoisomer	N						
1381218	CHEMBL2108952	Dextran Sulfate Sodium (JAN)													Oligosaccharide	N	N	Single Stereoisomer	N						
1380875	CHEMBL2108609	Inalimarev (Cea, Muc-1, Vaccinia Virus) (USAN)				-rev	therapeutic virus	-rev	2005						Unknown	N	N	Single Stereoisomer	N						
1380729	CHEMBL2108463	Garlic (NF)													Unknown	N	N	Single Stereoisomer	N						
184737	CHEMBL113178	Selenomethionine (USP); Selenomethionine (75Se) (INN, USAN, USP, FDA); Selenomethionine (75Se) Injection (JAN)	4		Pharmalucence Inc; Mallinckrodt Inc; Ge Healthcare; Bracco Diagnostics Inc				1964	1973			Diagnostic Aid (pancreas function determination); Radioactive Agent		Synthetic Small Molecule	N	N	Single Stereoisomer	N	N	Y	N	N	Discontinued	C[Se]CC[C@H](N)C(=O)O
1327285	CHEMBL2005994	Mocimycin (INN, MI)		MYC-8003		-mycin	antibiotics (Streptomyces strains)	-mycin							Natural Product-derived	N	N	Single Stereoisomer	N						CC[C@H](C(=O)NC\C=C\C=C(/C)\[C@@H](OC)[C@@H](C)[C@@H]1O[C@H](\C=C\C=C\C=C(/C)\C(=O)C2=C(O)C=CNC2=O)[C@H](O)[C@@H]1O)[C@@]3(O)O[C@@H](\C=C\C=C\C)C(C)(C)[C@@H](O)[C@H]3O
780616	CHEMBL1356732	Actinoquinol (INN); Actinoquinol Sodium (USAN)							1965				Ultraviolet Screen		Synthetic Small Molecule	Y	N	Achiral Molecule	N						CCOc1ccc(c2cccnc12)S(=O)(=O)O
1376950	CHEMBL2104680	Danosteine (INN)													Synthetic Small Molecule	Y	N	Achiral Molecule	N						OC(=O)CCSCC(=O)O
1377752	CHEMBL2105482	Tenylidone (DCF, INN)													Synthetic Small Molecule	N	N	Achiral Molecule	N						O=C1\C(=C/c2cccs2)\CCC/C/1=C\c3cccs3
1377862	CHEMBL2105592	Diphoxazide (INN)													Synthetic Small Molecule	Y	N	Achiral Molecule	N						CC(=O)NNC(=O)CC(O)(c1ccccc1)c2ccccc2
1378935	CHEMBL2106665	Decloxizine (INN)		UCB-1402											Synthetic Small Molecule	Y	N	Achiral Molecule	N						OCCOCCN1CCN(CC1)C(c2ccccc2)c3ccccc3
1378794	CHEMBL2106524	Octazamide (INN, USAN)		ICI-U.S. 457	Ici Americas				1976				Analgesic		Synthetic Small Molecule	Y	N	Racemic Mixture	N						O=C(N1CC2COCC2C1)c3ccccc3
1379006	CHEMBL2106736	Midaxifylline (INN)				-fylline	theophylline derivatives	-fylline							Natural Product-derived	Y	N	Achiral Molecule	N						CCCN1C(=O)N(CCC)c2[nH]c(nc2C1=O)C3(N)CCCC3
1379789	CHEMBL2107519	Chlornaphazine (DCF, INN, MI)		CB-1048; R-48											Synthetic Small Molecule	Y	N	Achiral Molecule	N						ClCCN(CCCl)c1ccc2ccccc2c1
1376285	CHEMBL2104015	Bencisteine (DCF, INN)													Synthetic Small Molecule	Y	N	Racemic Mixture	N						CC(CSCC(NC(=O)C)C(=O)O)C(=O)c1ccccc1
1376404	CHEMBL2104134	Clocanfamide (INN)													Synthetic Small Molecule	Y	N	Racemic Mixture	N						CC1C2CCC(C2)C1CN(CCO)C(=O)c3ccc(Cl)cc3
1379703	CHEMBL2107433	Iroxanadine (INN)													Synthetic Small Molecule	Y	N	Racemic Mixture	N						C(C1CON=C(N1)c2cccnc2)N3CCCCC3
1377130	CHEMBL2104860	Mepitiostane (INN, JAN, MI)													Natural Product-derived	N	N	Single Stereoisomer	N						COC1(CCCC1)O[C@H]2CC[C@H]3[C@@H]4CC[C@H]5C[C@@H]6S[C@@H]6C[C@]5(C)[C@H]4CC[C@]23C
1379925	CHEMBL2107655	Biclotymol (DCF, INN)													Synthetic Small Molecule	N	N	Achiral Molecule	N						CC(C)c1cc(Cl)c(C)c(Cc2c(C)c(Cl)cc(C(C)C)c2O)c1O
1376825	CHEMBL2104555	Vadocaine (INN)				-caine	local anesthetics	-caine							Synthetic Small Molecule	Y	N	Racemic Mixture	N						COc1cc(C)cc(C)c1NC(=O)CCN2CCCCC2C
1376993	CHEMBL2104723	Metazamide (INN)		GPA-878											Synthetic Small Molecule	Y	N	Achiral Molecule	N						COc1ccc(cc1)N2C(=CNC2=O)C
1378616	CHEMBL2106346	Dimesone (BAN, INN)													Natural Product-derived	Y	N	Single Stereoisomer	N						C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(C)C(=O)CO
1376515	CHEMBL2104245	Bornelone (INN, USAN)							1979				Ultraviolet Screen		Synthetic Small Molecule	Y	N	Racemic Mixture	N						CC(=O)\C=C\C=C/1\C2CCC(C2)C1(C)C
1380024	CHEMBL2107754	Iferanserin (INN)				-anserin	serotonin 5-HT2 receptor antagonists	-anserin							Synthetic Small Molecule	Y	N	Racemic Mixture	N						CN1CCCCC1CCc2ccccc2NC(=O)\C=C\c3ccccc3
1381281	CHEMBL2109015	Aluminum Carbonate, Basic (USAN, USP)			Wyeth-Ayerst				1988				Antacid		Unknown	N	N	Single Stereoisomer	N						
1380161	CHEMBL2107895	Technetium (99Mtc) Pintumomab (INN)													Antibody	N	N	Single Stereoisomer	N						
1380580	CHEMBL2108314	Nepidermin (INN)				-ermin	growth factors: epidermal growth factors	-ermin (-dermin)							Oligopeptide	N	N	Single Stereoisomer	N						
1381097	CHEMBL2108831	Bacitracin Methylene Disalicylate (USP)											Antibacterial; Food Additive (veterinary)		Unknown	N	N	Single Stereoisomer	N						
1380534	CHEMBL2108268	Cellulose, Oxidized (JAN, USP)											Hemostatic (local)		Unknown	N	N	Single Stereoisomer	N						
1380976	CHEMBL2108710	Rimabotulinumtoxinb (USAN)		AN-0772; BTX-8; BTX-B	Solstice Neurosciences	-tox-	toxins	-tox-	2009						Unknown	N	N	Single Stereoisomer	N						
1380545	CHEMBL2108279	Dacliximab (INN)				-mab	monoclonal antibodies	-mab							Antibody	N	N	Single Stereoisomer	N						
1378668	CHEMBL2106398	Isobutane (NF)											Aerosol Propellant		Synthetic Small Molecule	Y	N	Achiral Molecule	N						CC(C)C
1377213	CHEMBL2104943	Quintiofos (BAN, INN)		BAYER-9037											Synthetic Small Molecule	Y	N	Racemic Mixture	N						CCOP(=S)(Oc1cccc2cccnc12)c3ccccc3
1379079	CHEMBL2106809	Naphthonone (DCF, INN)													Synthetic Small Molecule	Y	N	Racemic Mixture	N						Oc1ccc2ccccc2c1C3CCCCC3=O
1377565	CHEMBL2105295	Osmadizone (INN)													Synthetic Small Molecule	Y	N	Racemic Mixture	N						OC(=O)C(CC[S+]([O-])c1ccccc1)C(=O)N(Nc2ccccc2)c3ccccc3
1378735	CHEMBL2106465	Nuclomedone (INN)													Synthetic Small Molecule	Y	N	Racemic Mixture	N						Clc1ccc(CC2C(=O)N=C3SCCN3C2=O)cc1
1377002	CHEMBL2104732	Nerisopam (INN)													Synthetic Small Molecule	Y	N	Achiral Molecule	N						COc1cc2CC(=NN=C(c3ccc(N)cc3)c2cc1OC)C
1376972	CHEMBL2104702	Olmidine (DCF, INN)													Synthetic Small Molecule	Y	N	Racemic Mixture	N						NC(=N)C(O)c1ccc2OCOc2c1
1376118	CHEMBL2103848	Demiditraz (INN, USAN)		PF-3814927	Pfizer				2009						Synthetic Small Molecule	Y	N	Single Stereoisomer	N						C[C@@H](c1cccc(C)c1C)c2ncc[nH]2
1376474	CHEMBL2104204	Encyprate (INN, USAN)		A-19757; MO-1255	Abbott				1965				Antidepressant		Synthetic Small Molecule	Y	N	Achiral Molecule	N						CCOC(=O)N(Cc1ccccc1)C2CC2
1376692	CHEMBL2104422	Ociltide (INN)				-tide	peptides	-tide							Oligopeptide	N	N	Single Stereoisomer	N						N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCCNC=O)C(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H]3CCSC3=O
1376586	CHEMBL2104316	Fenbutrazate (BAN, INN, MI)													Synthetic Small Molecule	Y	N	Racemic Mixture	N						CCC(C(=O)OCCN1CCOC(C1C)c2ccccc2)c3ccccc3
